a,b,gcd,x,y,step,time_ms
1953772011533598724,-8873725624976214708,4,-188546583410552879,-41513232784770800,37,23
2063260254144811984,1062149241501791407,1,-170316931073174308,330846307430714639,35,15
4951593721196261718,1198721279029831638,6,-1273703524012785,5261325115769722,31,12
1254925772812521368,3435740695383125017,1,533420506817870944,-194835175614968023,44,17
1848330008385484969,1021657878768242492,1,-126385344210378515,228649755636213933,33,13
8093186550235432704,-2765732533213891103,1,1062786030996038228,3109962915264315937,40,15
6175242173037418429,9008830917957867469,1,-449184332324710176,307900332207364645,45,16
-8556103052876496779,2437406857016891829,1,-574646846420078405,-2017200215395393886,36,14
-5518474099399160614,-7854439264450156097,1,-1388291178097311609,975403673108761525,44,16
-3650619879510042320,7507247852629569577,1,3401547766955220760,1654102561007113113,49,17
4739554065602260228,1287132248374015156,4,-53282527256641627,196200055591643660,33,12
3299981465749637546,8514336418731380018,2,1348540851912932941,-522666664583353488,48,19
-2634520269872234818,5930009301637992211,1,2082435137636475264,925161715898500123,31,12
1164668781734252805,-1155106516849559255,5,-80762125820182077,-81430695193203898,35,13
3859859752975847698,4216288247143153500,22,-27444839397932861,25124760170451944,29,11
-7956523718186720381,6563994973929071135,1,-1350396250479652031,-1636878126593134206,40,15
2472227986279214091,4564803483625738189,1,2154975234426788644,-1167101739077913527,40,15
1995735055461702088,-8535647746146137932,4,-453456538013661271,-106023483624985061,35,13
8871463721185134578,7212989608815692382,2,-514558937528791193,632870861358103758,39,14
-3009283267696490873,-6777498370870898489,1,-507161114576380385,225185071630624536,32,12
-198050826760738079,-4817299121259863689,1,-1516615237707224773,62351723267558794,40,14
-6021386081316784454,8838702069320349349,1,-3742637266769675695,-2549680232323670821,42,14
3652837431176326061,1689666002718896962,1,-335497293722008187,725301373522394384,37,13
6102195642098740080,5770227816731736528,48,4198151316335570,-4439675777294359,38,16
-3262835840396504682,1347437744611528718,2,14224331247890584,34444380073878655,35,12
4596932775807931065,6878490504741618304,1,-3176745873416055,2123036619132094,31,10
-1794856634840614262,-3865444814857361709,1,1177287230724656368,-546654239909839813,35,12
-819684517646514722,-732159268495966232,2,-135042362878349609,151185867393544378,34,12
5144206250923829335,945224375159169429,1,-106954379053274051,582079133535759534,31,10
5937930001866537625,6143162249932205119,1,429249093054555450,-414908635686901271,36,12
-5901089970926248737,-6689418276569096348,1,2670294091858294163,-2355607772365291259,35,12
2865122390732314248,2173988725373797548,12,-86020379008513679,113367153693125123,31,11
4415325225510938198,8932965264738454253,1,1085068945525481416,-536320487611062539,38,15
-6134878752578961573,2889080841259333561,1,-1180130795960420763,-2505973263886180118,44,16
7340423532839472960,5676988189602578939,1,1196552777766182139,-1547159140525567501,42,15
5703711132062388994,3303898322906451710,2,302354775506138298,-521972570078820551,42,14
6648850678520901645,6198679768542990306,3,675371424733647365,-724419380136719887,42,15
1330848807749745353,-2104760308503750328,1,-1036254510586743375,-655228091468547367,37,13
195611097075663944,6870077870361612183,1,693328740243123146,-19741085628467081,34,12
8303737915816074702,1144478650937108741,1,522364691037625451,-3790004721626771461,38,13
8161872990162172617,5171040377825239345,1,207711182058409853,-327847427737584740,42,15
-7943421917712589690,1408189838586729638,2,307150031796680465,1732594731011903354,43,15
-8759707418100022183,8589586881021257574,1,1336020038837272043,1362480501919283005,37,13
-1886201949406899865,918789774586163763,1,3620797880314967,7433208563226112,31,11
1117741867710565254,-2949033062058218305,1,215066517808152554,81514464652735163,40,13
-4745880506664809005,1127416107165679858,1,-305887336855933251,-1287638822962859963,46,15
6050577079492727390,2763197589131063491,1,430389408353730136,-942424204365501829,48,16
1867604662594167931,2130025365684407470,1,-835781805477094659,732812867849980399,37,13
-2240215596511511550,4733426038506725405,5,460381493648874886,217887380942967181,39,14
7021766827080374232,5492096741242838816,8,60020581463901555,-76737637321721072,36,12
6565659196997006661,-4130635734029698640,1,-367140332906591059,-583570776642918350,37,12
8235872915250956066,4459217806764675825,13,-133131794359926382,245885396686464313,37,12
332298478525284790,-7912174667996440118,2,1466668818365044607,61597706988765996,40,14
5087511964167756721,-4762659834411615757,1,1429518381862442195,1527023160078654442,34,12
-8866489271950490326,-4349934646790579366,2,-700413930585294190,1427656529516170243,30,11
-590430077864908438,1118188835483267470,2,204834384412099401,108157386033618812,33,11
9063853759602372040,-4017557188798030709,1,1524895385740929026,3440256883856160371,44,15
4979466812644538688,-4205778045066548859,3,125316029452810166,148368982639163495,36,12
-3471560421153561623,6790039008419454921,1,-1612041560181320936,-824192566587741087,40,14
