a,b,gcd,time_ms,step
1184003909692224717,3499024609119572756,1,37,124
2581565107073677938,8638141163972343767,1,38,18
4779997915569565301,3210016644031213718,1,41,19
6964515518750938669,3767816083054022214,1,46,28
6482310933797867129,1420963646950616460,1,36,16
1879071671118439535,2924663095944421081,1,39,18
4117945587617949295,7172159473310004886,1,44,21
1005480337024977777,4065625973182632070,1,25,11
3490093481427210890,3787823992370933238,2,41,19
2203972667043277899,6283002432576969983,1,33,15
631947250078197415,3804883817424770937,1,43,19
3354949769619943182,7494239484337068503,1,32,14
5566768572250226621,4138490690058727942,1,41,19
6697708414381998627,1338383566390437096,3,37,17
7311509583122801488,8154142134101493996,4,35,15
1733957382660996169,6584101191219991252,1,30,14
4371008518225043411,945109183210840864,1,42,19
7625360879793661295,311931550163054452,1,35,16
7560464926497503380,1000831321552188757,1,29,30
3351635253049258907,4843309597871504698,1,31,15
6933184980540971319,3778157183358141403,1,37,17
4528630797671325201,4732610460069744318,3,34,69
4765446375474832182,1955368762425241556,2,43,21
9118842410954990020,5904444858090889690,10,42,20
7735923167030100285,3044231892817833875,5,33,16
5741626321418455122,7690135012408218529,1,38,17
4858480274681977774,2350463655622169867,1,39,19
714715432995320108,8617687267138210074,22,35,16
3833208942937529643,2821016670960858082,1,40,17
7372477588155507413,6455976962419209245,1,33,14
556781264205469043,6417922942731653776,1,31,13
650359085626715522,8857304224293163500,2,36,15
5814049423864995649,2418276996501426209,179,41,18
9181726597889230406,3372092911114206898,2,40,17
1114519048774458285,3277475971156398266,1,36,15
8334960592482149555,9119218768389243622,1,47,28
8811478926829128752,1867752454958129106,2,43,20
9140949826226143001,5936847225252260488,1,41,18
7489766226818425939,9094493536867203161,1,31,25
559720516873704919,8341625619305096235,1,30,14
5227206149313831375,7451134042536019062,9,45,20
6183163702045636147,2341481406328184398,1,47,20
4816251915196853029,7369027572409966821,1,44,21
2446830775290228637,8577286663703272750,1,26,12
3982952543776505301,2339531110412091333,3,42,18
1875575591246678535,3129471725857062914,1,29,13
1444690345335166085,9108940072488396480,5,47,30
7777742913646524778,7437491458685638114,2,31,14
1443890052998171821,4650476477807808596,1,34,14
4732195327975130402,4462167594267879333,1,47,153
3566978241437905734,3867167870607763174,2,34,16
8895140844004607567,5807344132977687866,1,44,20
2401665200715811076,7340203418818182639,1,35,16
2145531422853723218,4512247838973584822,2,39,17
236384625141932639,5854764195136863358,1,41,17
8058537229834192217,609469827768955560,1,37,15
5159295574402486508,7484677720383581122,2,34,14
1901680268086524775,8973359718539823764,1,40,17
992441436102472341,3425688642286949553,3,29,13
3554322190712077036,6359657421101733322,14,36,16
8025292115716658651,850827081398016852,41,37,15
686816193382796087,1922755130877615019,1,34,15
1688812735529841870,9176670622909665874,2,39,37
1527681653581720144,5367629813543282362,2,37,20
6877891898746031968,3075012281617099240,8,36,16
952864095556440362,3804594752424128728,2,37,16
6080587938903754027,8073017788729744387,1,42,27
7368998594325272884,807799734831017301,1,40,17
3408514589880310806,2533731640201171967,1,37,17
6984338610546648199,4134780955490897902,1,45,20
3045736997355142941,1491399360615712860,3,41,18
4994304927374784418,2527390609329138964,2,40,18
3978177917425509610,8850010753059560031,17,31,14
8347599005071047919,5241202974964995486,1,44,52
5423003525958596310,4554536309788562962,2,37,17
1351178742310041754,6851793324259357006,2,35,16
411336870536093513,4792717360412432740,1,35,15
2232543191510205911,5906155084900074301,1,37,17
8898700713224997209,1964610800364579632,1,42,18
2096847268051355229,157582374340558082,1,41,17
6260394293485699178,3880825882353021724,2,42,18
1019674909918893479,7883318654493618757,1,47,20
2810893625224541915,3170227824456702663,1,43,19
3529881584834539355,5224778655904641283,1,40,17
1190077489537541527,552195124591550450,1,45,19
5227471686749349683,6372857475528406668,1,40,17
4801302444884022742,131656093956174822,2,34,14
2408680908464782252,7726102102260719461,1,41,17
5644417906748383716,6715452068205855544,4,39,17
5689620037816678715,4349112304748186792,1,34,15
5516345919411706626,246664781453195476,2,35,15
7741028457201968002,7249892361539330384,2,39,16
4803994105302645641,3915241252317631801,1,33,14
5872317725832551627,9066393677896599939,1,35,15
6675582786436097384,5099497200581906794,2,31,13
8757919072272586647,4582457177948633322,3,38,17
3363230535359225888,3320537312400190709,1,36,15
6707341332910664590,3062955577941473655,5,34,15
3307626631245589145,6433161167445925106,1,34,14
5675727432379176522,4000866067552996899,9,34,14
