a,b,gcd,time_ms,step
1340044705999113298,1988201407851187520,2,31,15
8487101060314330969,2949144357636491803,1,35,10
2601201051103794902,4478769093583817205,1,39,10
6634420347257240041,2690370853918132483,7,35,8
2052352245357261900,8191485589364577326,2,32,8
5024282866592986777,2652620499632282471,1,41,10
7631863685141765518,1564728951446325778,2,35,8
586510113907484374,4253097220531599429,1,41,10
2875652740346111559,469176342672915481,1,31,8
5598106966401776991,4928583232013431994,1,40,11
3041611850060861685,6468594576878345604,3,36,9
505303631145485055,6667220073948789209,1,41,10
8742368869217568723,7799979027983359827,3,36,8
3599080170087020901,8222919567155957688,3,35,8
8838815201861352489,465863498341855876,1,25,6
1496178709435720296,7068213746832392326,2,43,12
5863182337743392545,6011045028426488201,1,41,10
4863729072137071977,3790566832974693460,1,41,10
4098436808793680621,3380178460585246388,1,37,9
7390890040032815902,3590018362706750549,1,35,9
7526587788763154100,4154317677831242057,1,42,10
1619494871468001781,8724131558590529692,1,36,9
3793132237638581548,2203385689434819445,1,35,8
5532951326005679102,6234001601288377879,1,41,11
8937440345202387141,7997100425667515101,1,32,8
6368761688843543099,8132951672870769105,1,47,12
6394744245504392818,4666606009608726404,2,42,12
7476542993329169510,289492756681185378,2,34,8
1132995636850082831,9216244344062183664,1,35,8
3360014658105516921,7172724984671636552,1,33,8
8827843685444155512,854423728638118238,2,35,9
7723723621740251949,2007412083256206067,1,30,8
631179930632664614,8843742573521426549,1,40,9
1427327708694328322,5707847184310151583,1,34,9
4231604348363682303,6846801852788373632,13,46,12
1942191306250705615,4150470699590195302,7,35,9
9044154053575684234,4587214345516424283,1,43,10
707907405219761999,4614477985089423897,1,36,9
1421326548463327886,3033113707103668467,1,32,8
5077319494181657949,5939557589530070898,3,32,8
3955850882263454979,2229391477122866861,7,39,9
4127397513022866092,7209046066114133289,1,36,9
7456076218647395284,4277163546761846979,1,32,8
398721543035442676,1968163647904473996,4,41,10
1550420656410569641,7224759971346935418,1,43,10
8527750017836893239,3257535790844395760,1,51,12
4485701809427917640,731871852270885278,2,40,9
6795102958690699502,6345778705970737349,1,36,9
8616515904116334988,5953000968000886034,2,38,9
